,Name,Distance,Mass,Radius,Gravity
0,Sirius,8.6,2.1,1.71,196.971799550325
1,Canopus,310.0,15.0,71.0,0.8161153386021839
2,Alpha Centauri,4.4,1.1,1.2,209.51116500384123
3,Arcturus,37.0,1.1,26.0,0.4462959727892475
4,Vega,25.0,2.2,2.7,82.76984296448046
5,Capella,43.0,2.6,12.0,4.952082081908975
6,Rigel,860.0,23.0,78.9,1.01332978543217
7,Procyon,11.4,1.5,1.9,113.9622554541166
8,Betelgeuse,640.0,20.0,950.0,0.0060779869575528
9,Achernar,144.0,6.7,9.3,21.24642596576651
10,Hadar,390.0,10.5,8.6,38.93761756794925
11,Altair,17.0,1.8,1.8,152.37175636643
12,Acrux,320.0,18.0,8.9,62.32603088337749
13,Aldebaran,65.0,1.5,44.0,0.21250193294905
14,Antares,600.0,12.0,680.0,0.007117711802584
15,Spica,260.0,11.43,7.47,56.18003500809001
16,Pollux,34.0,1.9,8.8,6.729227876719917
17,Fomalhaut,25.0,1.9,1.8,160.83685394234274
18,Mimosa,350.0,16.0,8.4,62.19255361895101
19,Regulus,77.0,3.8,3.1,108.45190567600216
20,Adhara,430.0,12.5,14.0,17.491655705329972
21,Shaula,700.0,14.5,8.8,51.354633796020416
22,Castor,52.0,2.8,2.4,133.32528682062622
23,Gacrux,88.0,1.5,84.0,0.0583055190177665
24,Bellatrix,240.0,8.6,5.8,70.11637302474244
25,Elnath,130.0,5.0,4.2,77.74069202368875
26,Miaplacidus,110.0,3.5,6.8,20.75999275753696
27,Alnair,101.0,4.0,3.4,94.90282403445468
28,Alioth,81.0,2.9,4.2,45.08960137373948
29,Alnitak,1050.0,33.0,20.0,22.62720582041485
30,Dubhe,120.0,4.25,30.0,1.2951599291146547
31,Mirfak,590.0,8.5,68.0,0.5041712526830403
32,Sargas,270.0,5.7,26.0,2.3126245862715558
33,Kaus Australis,140.0,3.5,6.8,20.75999275753696
34,Avior,630.0,9.0,130.0,0.1460605001855719
35,Alkaid,104.0,6.1,3.4,144.72680665254336
36,Menkalinan,81.0,2.39,2.77,85.43097080483021
37,Atria,390.0,7.0,92.0,0.2268294104698744
38,Alhena,109.0,2.8,3.3,70.51915997124031
39,Peacock,180.0,5.9,4.8,70.23385645015131
40,Alsephina,80.0,2.4,2.9,78.26943965552644
41,Mirzam,500.0,13.5,10.0,37.02633679704248
42,Polaris,430.0,5.4,39.0,0.9737366679038127
43,Alphard,180.0,3.0,50.0,0.3291229937514887
44,Mintaka,1200.0,24.0,16.5,24.17799770442525
45,Scheat,196.0,2.1,95.0,0.0638188630543053
46,Almaaz,653.0,15.0,140.0,0.2098998684639596
47,Rasalgethi,360.0,2.8,280.0,0.0097953271949847
48,Tau Ceti,11.9,0.783,0.893,269.2996711047934
49,Delta Pavonis,19.92,0.991,1.22,182.61269753187165
50,Ran,10.48,0.82,0.74,410.7025427261698
51,Delta Cephei,887.0,4.5,44.5,0.6232603088337748
52,Titawin,44.25,1.27,1.48,159.02202111653529
53,61 Cygni,11.41,0.7,0.665,434.1419255394918
54,Polaris Australis,281.0,1.59,3.74,31.17675417660803
55,54 Piscium,36.1,0.76,0.94,235.9037604224493
56,Mira,300.0,1.2,370.0,0.0024041124452263
57,Lacaille 8760,12.87,0.6,0.51,632.685493563031
58,II Pegasi,130.0,0.8,3.4,18.980564806890936
59,Barnard's Star,5.98,0.14,0.2,959.9420651085086
60,Proxima Centauri,4.25,0.12,0.15,1462.7688611177275
61,Gliese 1214,47.5,0.16,0.21,995.0808579032164
62,VB 10,18.72,0.075,0.1,2057.0187109468043
63,TRAPPIST-1,39.6,0.089,0.12,1695.1357895765332
64,2MASS J0523-1403,40.3,0.07,0.086,2595.8411711966173
65,2MASS J00040288-6410358,192.0,0.0189137172,0.1675036899999999,184.8864622538569
66,2MASS J00242463-0158201,37.7,0.0786412451999999,0.11201167,1719.098715039028
67,2MASS J00274197+0503417,236.0,0.0308592227999999,0.1479787199999999,386.512398687014
68,2MASSW J0030300-145033,87.2,0.0537547751999999,0.1007077399999999,1453.6783710933337
69,2MASS J00345157+0523050,31.0,0.0418092696,0.0965972199999999,1228.9106374410574
70,2MASS 0036+1821,28.6,0.0418092696,0.0965972199999999,1228.9106374410574
71,2MASSW J0045214+163445,57.0,0.0228955523999999,0.16647606,226.58154156403197
72,2MASSI J0103320+193536,70.0,0.0517638576,0.1007077399999999,1399.8384314232103
73,SDSS J015141.69+124429.6,70.0,0.0467865636,0.0996801099999999,1291.4604467965617
74,2MASS J02103857-3015313,101.0,0.0149318819999999,0.15722739,165.6666604485024
75,2MASS J02340093-6442068,155.0,0.0199091759999999,0.16647606,197.02742744698423
76,LP 771-21,53.0,0.0776457863999999,0.11098404,1728.9156758472873
77,Teegarden's star,12.578,0.0796367039999999,0.1305090099999999,1282.3579405837083
78,2MASS J02535980+3206373,184.0,0.064704822,0.1952496999999999,465.5141376519568
79,WISE J0254+0223,24.0,0.064704822,0.1952496999999999,465.5141376519568
80,DEN 0255-4700,16.2,0.0796367039999999,0.0996801099999999,2198.230547738828
81,2MASS J03205965+1854233,47.0,0.0876003743999999,0.1181774499999999,1720.3377199275683
82,2MASS J03231002-4631237,192.0,0.0228955523999999,0.17058658,215.7935105532899
83,SDSS J032553.17+042540.1,59.0,0.0447956459999999,0.0976248499999999,1289.1160734977263
84,2MASS J03341218-4953322,27.0,0.0726684923999999,0.10687352,1744.9496571378602
85,LP 944-20,20.9,0.0726684923999999,0.1469510899999999,922.9485789820088
86,2MASP J0345432+254023,88.0,0.0736639512,0.10790115,1735.321077723268
87,Teide 1,380.0,0.0547502339999999,0.3884441399999999,99.51895570026254
88,2MASS J03510004-0052452,48.0,0.1015367975999999,0.1305090099999999,1635.0063742442285
89,2MASS J03552337+1133437,29.8,0.0199091759999999,0.13564716,296.76238555547855
90,2MASS J04351612-1606574,34.0,0.0995458799999999,0.1294813799999999,1628.4920023679322
91,2MASS J04362788-4114465,142.0,0.0388228931999999,0.2024431099999999,259.8118019413379
92,2MASS J04433764+0002040,82.0,0.0219000935999999,0.1829181399999999,179.5185767740981
93,SDSS J053951.99-005902.0,41.62,0.0607229867999999,0.10379063,1546.0153718313798
94,2MASS J06085283-2753583,102.0,0.0378274344,0.15517213,430.8800855771874
95,2MASS J07075327-4900503,60.0,0.0716730335999999,0.10584589,1754.626835828746
96,UGPS J072227.51-054031.2,13.4,0.0258819288,0.1007077399999999,699.9192157116051
97,2MASS J07522390+1612157,60.0,0.0676911984,0.2065536299999999,435.1545392471335
98,DENIS J081730.0-615520,16.1,0.0438001871999999,0.0965972199999999,1287.4301916049174
99,LHS 2021,55.0,0.0876003743999999,0.1181774499999999,1720.3377199275683
100,2MASS J08533619-0329321,27.6,0.0766503276,0.10995641,1738.8010352683054
101,2MASSI J0937347+293142,20.0,0.0418092696,0.0965972199999999,1228.9106374410574
102,2MASS J10073369-4555147,46.0,0.0438001871999999,0.0965972199999999,1287.4301916049174
103,DEN 1048-3956,13.15,0.0766503276,0.10995641,1738.8010352683054
104,Luhman 16B,6.516,0.0428047284,0.10481826,1068.5499598928404
105,Luhman 16A,6.516,0.0398183519999999,0.10379063,1013.7805716927078
106,TWA 28,180.0,0.0358365167999999,0.24560357,162.94214125546793
107,Cha 110913-773444,163.0,0.0079636704,0.1849733999999999,63.83688649282293
108,SDSS J111010.01+011613.1,63.0,0.0089591291999999,0.12742612,151.33028828456003
109,TWA 26,137.0,0.0298637639999999,0.2260786,160.25168819995838
110,2MASS J12074836-3900043,217.0,0.0169227996,0.17572473,150.3084585011066
111,2M 1237+6526,45.6,0.0408138107999999,0.0965972199999999,1199.6508603591274
112,TWA 29,262.0,0.0248864699999999,0.205526,161.58711893495806
113,Kelu-1A,61.0,0.0627139043999999,0.1007077399999999,1695.958099608889
114,Kelu-1B,61.0,0.0577366103999999,0.1007077399999999,1561.3582504335805
115,2MASS J13204427+0409045,101.0,0.0666957396,0.10379063,1698.082457585286
116,2MASS J13595510-4034582,51.0,0.0627139043999999,0.102763,1628.7981588643772
117,ULAS J141623.94+134836.3,29.7,0.0318546816,0.0986524799999999,897.7062163053226
118,LHS 2924,38.5,0.0756548688,0.10892878,1748.7534409479258
119,2MASS J14392837+1929150,47.0,0.0716730335999999,0.10584589,1754.626835828746
120,LSPM J1440+1339,72.0,0.0915822095999999,0.1222879699999999,1679.6570798125715
121,CFBDSIR 1458+10A,104.0,0.0110495926799999,0.1541445,127.5460992126602
122,CFBDSIR 1458+10B,104.0,0.0089591291999999,0.1335918999999999,137.68369897416542
123,TVLM 513-46546,35.1,0.07465941,0.10790115,1758.7713625573665
124,2MASS 1503+2525,20.7,0.0438001871999999,0.0965972199999999,1287.4301916049174
125,CFBDS J150411+102717,71.0,0.0438001871999999,0.0965972199999999,1287.4301916049174
126,TVLM 868-110639,53.0,0.0786412451999999,0.11098404,1751.0812614350727
127,WISEPA J164715.59+563208.2,28.0,0.0408138107999999,0.0965972199999999,1199.6508603591274
128,2MASSI J1726000+153819,114.0,0.0238910112,0.1438681999999999,316.5788452603261
129,SDSSp J175032.96+175903.9,90.0,0.0467865636,0.0996801099999999,1291.4604467965617
130,2MASS J18283572-4849046,39.0,0.0447956459999999,0.0976248499999999,1289.1160734977263
131,LSR J1835+3259,18.5,0.0766503276,0.10995641,1738.8010352683054
132,2MASSW J1841086+311727,138.0,0.0666957396,0.10379063,1698.082457585286
133,2MASS J18432213+4040209,46.0,0.0955640448,0.12537086,1667.5478008875002
134,2MASS J20004841-7523070,105.0,0.0248864699999999,0.1931944399999999,182.8736067620621
135,SDSS J204749.61-071818.3,65.0,0.0457911047999999,0.0986524799999999,1290.4526859389011
136,2MASSI J2057540-025230,47.0,0.0696821159999999,0.10481826,1739.499934709275
137,2MASSI J2104149-103736,62.0,0.0686866571999999,0.10481826,1714.6499356419995
138,HB 2124-4228,113.0,0.0935731272,0.1243432299999999,1659.9072937516355
139,2MASS J21392676+0220226,32.1,0.0457911047999999,0.0986524799999999,1290.4526859389011
140,2MASS J21481628+4003593,26.3,0.0547502339999999,0.1017353699999999,1450.8383293823397
141,2MASSW J2206450-421721,93.0,0.0219000935999999,0.13667479,321.5482269495461
142,2MASSW J2208136+292121,154.0,0.0268773875999999,0.1448958299999999,351.1173249831592
143,2MASSW J2224438-015852,38.0,0.0607229867999999,0.1017353699999999,1609.1116016785948
144,2MASS J22282889-4310262,35.0,0.0418092696,0.0965972199999999,1228.9106374410574
145,2MASS J22373255+3922398,64.0,0.0726684923999999,0.10687352,1744.9496571378602
146,2MASSW J2244316+204343,56.0,0.0119455056,0.1325642699999999,186.4354716393964
147,2MASS J23224684-3133231,56.0,0.0238910112,0.1428405699999999,321.1503217795348
148,2MASS J23225299-6151275,148.0,0.0169227996,0.16339317,173.85268126382886
149,2MASS J23515044-2537367,67.0,0.0876003743999999,0.1192050799999999,1690.804573873521
150,2MASSI J2356547-155310,74.0,0.0796367039999999,0.11201167,1740.85945826737
151,WISE 0410+1502,20.0,0.0059727528,0.1202327099999999,113.31991685116502
152,WISE 0458+6434A,35.9,0.0149318819999999,0.4316046,21.98464203196708
153,WISE 0458+6434B,35.9,0.0099545879999999,0.3904993999999999,17.904389909690643
154,WISE 1405+5534,25.3,0.0298637639999999,0.08837618,1048.6995279716043
